1986_LST,1990_LST,2017_LST,NDBI_1986,NDBI_1990,NDBI_2017,NDLI_1986,NDLI_1990,NDLI_2017,NDVI_1986,NDVI_1990,NDVI_2017,,,LST,1986,1990,2017
23.349,22.070,25.906,-0.127,-0.059,-0.144,0.014,0.007,0.015,0.488,0.406,0.628,,,,,,
23.408,22.514,25.208,-0.013,-0.036,-0.079,0.002,-0.007,-0.005,0.382,0.407,0.517,,,,,,
22.540,23.001,27.355,0.040,0.057,0.200,-0.025,-0.021,-0.035,0.341,0.266,0.236,,,,,,
25.975,22.935,27.306,-0.015,-0.086,0.052,-0.010,0.011,-0.042,0.467,0.446,0.376,,,,,,
25.593,23.399,26.438,0.095,0.012,0.016,0.001,-0.010,-0.009,0.371,0.402,0.454,,,,,,
25.560,23.383,25.874,-0.005,-0.019,-0.055,0.015,0.001,-0.015,0.439,0.432,0.501,,,,,,
25.625,22.549,26.563,0.030,0.051,0.005,0.002,-0.001,-0.030,0.255,0.310,0.417,,,,,,
29.528,27.401,30.801,0.192,0.151,0.225,-0.057,-0.063,-0.071,0.167,0.184,0.197,,,,,,
27.769,22.940,27.429,0.197,0.019,-0.094,-0.019,0.005,0.010,0.257,0.437,0.613,,,,,,
25.188,23.438,27.996,0.107,0.040,0.156,-0.037,-0.030,-0.046,0.276,0.288,0.231,,,,,,
25.237,22.952,25.575,-0.071,-0.025,-0.068,-0.009,-0.018,-0.002,0.517,0.414,0.483,,,,,,
26.057,23.862,28.805,0.105,-0.018,0.163,-0.027,-0.024,-0.048,0.252,0.344,0.249,,,,,,
26.749,23.398,27.503,-0.141,-0.122,-0.018,0.026,0.015,-0.019,0.580,0.507,0.465,,,,,,
27.758,23.851,26.767,0.151,0.018,-0.003,-0.009,-0.014,-0.014,0.310,0.373,0.466,,,,,,
25.282,22.459,26.953,-0.056,-0.082,-0.127,0.040,0.002,0.002,0.522,0.500,0.584,,,,,,
25.128,25.139,27.106,0.021,0.003,-0.021,0.024,-0.014,-0.017,0.505,0.416,0.493,,,,,,
25.160,22.920,26.349,0.007,0.000,-0.038,-0.006,-0.007,0.012,0.508,0.471,0.601,,,,,,
26.444,23.797,27.755,0.063,-0.058,-0.110,-0.017,0.016,0.016,0.397,0.475,0.645,,,,,,
24.637,22.555,27.359,-0.060,-0.063,-0.179,0.037,0.003,0.015,0.545,0.511,0.634,,,,,,
26.907,24.739,28.826,0.002,-0.036,0.105,-0.027,-0.014,-0.053,0.300,0.335,0.268,,,,,,
